data.mel-adem-53-seriennummer,data.regenerations-cmd-code,data.regenerations-code
201753MD1226-3,,51E161-MD-E89153
202053MD1320-2,,C815A9-MD-E8826F
1253MD1081-2,,223D0B-MD-E8228A
1453MD1017-2,,6DBA72-MD-E87812   
202053MD1267-3,,C4C5A9-MD-E89EB6
201653MD1209-2,,30E87B-MD-E85C9A
201553MD1737-1,,EA8D0B-MD-E8BF11
1353MD1009-2,,E234A9-MD-E84882
202253MD1031-1,,13FD0B-MD-E87B59
202153MD1589-1,,9C4902-MD-E88BFD
1353MD1077-2,,4E8D0B-MD-E89B84
202253MD1476-2,,FCD4A9-MD-E8CBBA
202653MD1002-1,,EC24A9-MD-E8EF3F
202253MD1723-2,,D2E622-MD-E8E117
202553MD1468-1,,20EE32-MD-E81959
201753MD1240-1,,8C1041-MD-E8FF22
202453MD1859-2,,7D7D0B-MD-E8E8DE
202353MD1417-2,,107AF1-MD-E84F58
202253CMD1001-2,352CB9-MC-E80E5A,
202353MD1306-1,,22855B-MD-E810E6
202153MD1175-2,,69B5A9-MD-E8F568
1453MD1264-2,,E68D0B-MD-E845EB
1453MD1562-2,,F004A9-MD-E8C83F
202053MD1707-1,,98F87B-MD-E8FE99
201953MD1602-1,,66E87B-MD-E811CB
201653MD1025-2,,FE1072-MD-E822D8
202553MD1872-1,,0E95A9-MD-E8E6AF
202353MD1190-1,,E7275C-MD-E8147E
201653MD1567-1,,A675A9-MD-E82E84
202053MD1684-1,,2A309B-MD-E8905C
1453MD1535-2,,65D87B-MD-E81EB6
202253MD1169-1,,E067C1-MD-E8FB6A
1353MD1041-2,,B1AD3B-MD-E8A8E8
201653MD1068-3,,29B625-MD-E87C39
202253MD1857-1,,559D35-MD-E8BB2B
202053MD1506-1,,20B625-MD-E852B3
202453MD1173-2,,5D65A9-MD-E88A91
201853MD1452-2,,E14D35-MD-E8BCE0
202653MD1116-2,,75F951-MD-E80927
201853MD1452-1,,294D35-MD-E88CC2
202253MD1828-2,,0C7D15-MD-E8D6CE
202253MD1828-1,,BB7D15-MD-E84884
202253MD1251-1,,BA8D15-MD-E8B65F
202053MD1563-1,,1BCB6B-MD-E8FD02
202453CMD1048-1,9D8F8B-MC-E827E3,
202553MD1305-1,,FF25A9-MD-E8675E
1453MD1211-2,,87175C-MD-E8FF08
1153MD1075-2,,B15C21-MD-E886AC
201553MD1619-1,,14F5A9-MD-E833F9
202253MD1407-1,,27A625-MD-E87323
202153MD1339-2,,BA009B-MD-E8550C
201653MD1642-3,,361EE5-MD-E86A00
201653MD1642-3,,5BD4F5-MD-E8EADC
202053MD1020-2,,CBDA7F-MD-E895C2
202353CMD1051-1,435CB9-MC-E8B0E2,435CB9-MC-E8B0E2
